userid,itemid,timestamp,timeslot,timesegment,num_of_week
0,0,1333476009,42,3,1
0,131,1333498777,48,0,1
0,0,1333562409,66,3,1
0,197,1333855660,147,4,1
0,197,1333855689,147,4,1
0,101,1333879462,154,5,1
0,0,1333908007,162,7,1
0,0,1333994465,18,3,2
0,33,1334044736,31,1,2
0,33,1334045006,32,1,2
0,33,1334056313,35,2,2
0,0,1334253610,90,3,2
0,0,1334426407,138,7,2
0,276,1334449949,144,4,2
0,0,1334512864,162,7,2
0,0,1334599211,18,3,3
0,0,1334772065,66,3,3
0,0,1334944809,114,3,3
0,105,1334956466,117,3,3
0,105,1334956531,117,3,3
0,105,1334956589,117,3,3
0,105,1334956644,117,3,3
0,105,1334956714,117,3,3
0,105,1334957500,117,3,3
0,117,1334957785,117,3,3
0,105,1334957921,117,3,3
0,105,1334991295,126,5,3
0,105,1335002948,130,5,3
0,105,1335062361,146,4,3
0,105,1335080352,151,5,3
0,117,1335080383,151,5,3
0,105,1335080691,151,5,3
0,105,1335096527,156,6,3
0,117,1335096591,156,6,3
0,105,1335103894,158,6,3
0,0,1335117666,162,7,3
0,105,1335138204,167,7,3
0,94,1335142964,1,0,3
0,114,1335145459,1,0,3
0,105,1335184830,12,2,3
0,0,1335204009,18,3,4
0,105,1335373211,65,3,4
0,0,1335376813,66,3,4
0,225,1335447005,85,2,4
0,105,1335546009,113,3,4
0,0,1335549611,114,3,4
0,105,1335632408,137,7,4
0,0,1335636067,138,7,4
0,105,1335891609,41,3,5
0,0,1335895211,42,3,5
0,105,1336064409,89,3,5
0,0,1336068009,90,3,5
0,105,1336150808,113,3,5
0,0,1336154409,114,3,5
0,105,1336237208,137,7,5
0,0,1336240810,138,7,5
0,105,1336323608,161,7,5
0,0,1336327209,162,7,5
1,1,1333476025,42,3,1
1,29,1333497833,48,0,1
1,153,1333560087,65,3,1
1,153,1333560248,65,3,1
1,1,1333561569,65,3,1
1,49,1333814418,136,7,1
1,19,1333823384,138,7,1
1,153,1333836997,142,7,1
1,153,1333884797,155,6,1
1,153,1333885017,155,6,1
1,1,1333885254,155,6,1
1,153,1333992261,17,3,2
1,153,1333992425,17,3,2
1,1,1333992596,17,3,2
1,1,1333993493,17,3,2
1,29,1334009418,22,3,2
1,153,1334079395,41,3,2
1,153,1334079596,41,3,2
1,1,1334080908,42,3,2
1,153,1334150089,61,2,2
1,1,1334150227,61,2,2
1,1,1334184138,70,3,2
1,153,1334236862,85,2,2
1,1,1334237042,85,2,2
1,1,1334238268,85,2,2
1,29,1334251135,89,3,2
1,153,1334443351,142,7,2
1,153,1334443552,142,7,2
1,1,1334443700,142,7,2
1,153,1334511942,161,7,2
1,153,1334512133,161,7,2
1,153,1334597066,17,3,3
1,153,1334597237,17,3,3
1,1,1334598761,17,3,3
1,29,1334611778,21,3,3
1,153,1334759544,62,2,3
1,1,1334759672,62,2,3
1,153,1334845648,86,2,3
1,1,1334847156,86,2,3
1,1,1334872557,93,3,3
1,153,1334938691,112,3,3
1,1,1334938825,112,3,3
1,1,1335116723,161,7,3
1,1,1335118600,162,7,3
1,29,1335122812,163,7,3
1,153,1335201496,17,3,4
1,153,1335201660,17,3,4
1,1,1335201841,17,3,4
1,29,1335226901,24,0,4
1,153,1335278186,38,2,4
1,153,1335278393,38,2,4
1,1,1335278600,38,2,4
1,1,1335279729,39,3,4
1,29,1335293363,42,3,4
1,153,1335635527,137,7,4
1,1,1335635711,137,7,4
1,153,1335721423,161,7,4
1,153,1335721605,161,7,4
1,1,1335721768,161,7,4
1,1,1335723333,162,7,4
1,29,1335889359,40,3,5
1,153,1336047045,84,2,5
1,153,1336047204,84,2,5
1,1,1336047386,84,2,5
1,1,1336149495,112,3,5
1,153,1336325407,161,7,5
1,1,1336325592,161,7,5
1,1,1336326619,161,7,5
1,153,1336411985,17,3,6
1,1,1336412138,17,3,6
1,153,1336487691,38,2,6
1,153,1336487863,38,2,6
1,1,1336488018,38,2,6
1,29,1336683846,93,3,6
1,153,1336929957,161,7,6
1,153,1336930110,161,7,6
1,1,1336930274,161,7,6
1,1,1336931825,161,7,6
1,1,1336962908,2,0,6
1,153,1337015902,17,3,7
1,153,1337016070,17,3,7
1,1,1337016221,17,3,7
1,153,1337092385,38,2,7
1,1,1337092555,38,2,7
1,1,1337093633,38,2,7
1,153,1337178558,62,2,7
1,1,1337178705,62,2,7
1,131,1337219705,73,0,7
1,153,1337265299,86,2,7
1,153,1337265470,86,2,7
1,1,1337265610,86,2,7
1,153,1337621620,17,3,8
1,153,1337621785,17,3,8
1,1,1337623069,17,3,8
1,153,1337696939,38,2,8
1,153,1337697108,38,2,8
1,1,1337697250,38,2,8
1,1,1337698330,38,2,8
1,153,1338140720,161,7,8
1,153,1338140885,161,7,8
1,1,1338141054,161,7,8
1,1,1338141865,162,7,8
1,29,1338156472,166,7,8
1,153,1338226408,17,3,9
1,153,1338226572,17,3,9
1,1,1338226742,17,3,9
1,1,1338227465,17,3,9
1,29,1338244434,22,3,9
1,153,1338311733,41,3,9
1,153,1338311897,41,3,9
1,1,1338312103,41,3,9
1,1,1338313327,41,3,9
1,153,1338474171,86,2,9
1,153,1338474340,86,2,9
1,1,1338474507,86,2,9
1,1,1338477182,87,3,9
1,29,1338494025,91,3,9
1,153,1338746422,162,7,9
1,153,1338746631,162,7,9
1,1,1338746827,162,7,9
1,153,1338906619,38,2,10
1,153,1338906777,38,2,10
1,153,1338992929,62,2,10
1,153,1338993086,62,2,10
1,1,1338993259,62,2,10
1,1,1338994699,62,2,10
1,153,1339023304,70,3,10
1,153,1339023476,70,3,10
1,153,1339069148,83,2,10
1,153,1339069316,83,2,10
1,1,1339069488,83,2,10
1,1,1339071426,84,2,10
1,29,1339073756,84,2,10
1,136,1339085451,88,3,10
1,153,1339196698,119,3,10
1,153,1339196869,119,3,10
1,1,1339197029,119,3,10
1,153,1339219548,125,4,10
1,153,1339324764,154,5,10
1,153,1339324927,154,5,10
1,1,1339325220,154,5,10
1,1,1339325797,154,5,10
1,1,1339371629,167,7,10
1,153,1339436435,17,3,11
1,1,1339436626,17,3,11
1,1,1339437563,17,3,11
1,153,1339468813,26,0,11
1,153,1339597764,62,2,11
1,1,1339597952,62,2,11
1,153,1339955674,161,7,11
1,153,1339955882,161,7,11
1,1,1339956017,162,7,11
1,153,1340039532,17,3,12
1,153,1340039712,17,3,12
1,1,1340039879,17,3,12
1,1,1340041455,17,3,12
2,2,1333476144,42,3,1
2,2,1333492643,46,3,1
2,2,1333513856,52,0,1
2,2,1333566687,67,3,1
2,2,1333821897,138,7,1
2,31,1333832498,141,7,1
2,17,1333842308,143,7,1
2,36,1333858131,148,4,1
2,2,1333863712,149,4,1
2,2,1333906182,161,7,1
2,167,1333909178,162,7,1
2,56,1333909665,162,7,1
2,31,1333911355,162,7,1
2,24,1333911364,162,7,1
2,56,1333911375,162,7,1
2,2,1333994145,17,3,2
2,2,1334040425,30,1,2
2,2,1334081558,42,3,2
2,2,1334101191,47,3,2
2,56,1334167795,66,3,2
2,36,1334172975,67,3,2
2,2,1334198090,74,0,2
2,2,1334212146,78,1,2
2,56,1334264314,92,3,2
2,36,1334270989,94,3,2
2,2,1334283358,98,0,2
2,2,1334334709,112,3,2
2,24,1334336721,113,3,2
2,36,1334345915,115,3,2
2,17,1334357982,118,3,2
